Student Id,Name,Race,Location,Gender,Major,Question,Question Response,Response Value
8939786,Thomas Burke,White,"('42.4251', '-71.06616', 'Malden', 'US', 'America/New_York')",Female,Bio,Civig Engagement,Neither Agree nor Disagree,3
9250984,Alan Simmons,Black or African American,"('41.66394', '-83.55521', 'Toledo', 'US', 'America/New_York')",Male,Engi,Civig Engagement,Agree,4
8369748,Robert Parsons,White,"('39.78504', '-85.76942', 'Greenfield', 'US', 'America/Indiana/Indianapolis')",Female,Ed,Civig Engagement,Disagree,2
1420060,Victoria Collier,White,"('41.15376', '-87.88754', 'Bourbonnais', 'US', 'America/Chicago')",Male,Chem,Civig Engagement,Agree,4
8501201,Lauren Zhang,White,"('47.64995', '-117.23991', 'Opportunity', 'US', 'America/Los_Angeles')",Female,Ed,Civig Engagement,Agree,4
4817029,Richard Delgado,White,"('33.7207', '-116.21677', 'Indio', 'US', 'America/Los_Angeles')",Male,Ed,Civig Engagement,Neither Agree nor Disagree,3
9238630,Pamela Dean,White,"('39.43534', '-84.20299', 'Lebanon', 'US', 'America/New_York')",Male,Bio,Civig Engagement,Agree,4
1473503,Mary Sullivan,Black or African American,"('42.35843', '-71.05977', 'Boston', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Neither Agree nor Disagree,3
3204727,Michael Phillips,White,"('29.65163', '-82.32483', 'Gainesville', 'US', 'America/New_York')",Male,Ed,Civig Engagement,Strongly Agree,5
8255723,Bonnie Jones,Hispanic or Latino,"('33.54428', '-84.23381', 'Stockbridge', 'US', 'America/New_York')",Male,Bus,Civig Engagement,Agree,4
8687588,Stephanie Smith,White,"('36.91023', '-121.75689', 'Watsonville', 'US', 'America/Los_Angeles')",Male,Nurs,Civig Engagement,Disagree,2
1366694,Shelley Roberts,White,"('36.91023', '-121.75689', 'Watsonville', 'US', 'America/Los_Angeles')",Male,Bio,Civig Engagement,Agree,4
7548356,James Castillo,Hispanic or Latino,"('39.09112', '-94.41551', 'Independence', 'US', 'America/Chicago')",Female,Bus,Civig Engagement,Disagree,2
